Date Saved,2018/03/08 19:36:25
Title,Cree-2x4-20CM-PW_06_3035K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],3035
⊿uv,-0.0013
Illuminance [lx],48900

Reference CCT [K],3000
LB Index [MK⁻¹],4
LB Camera Filter,81
LB Lighting Filter,-----
CC Index,0.1G
CC Camera Filter,CC025G
CC Lighting Filter,R3317 1/8 PLUS G
CRI Ra,83.2
CRI R1,82.4
CRI R2,93.5
CRI R3,94.0
CRI R4,80.1
CRI R5,82.9
CRI R6,92.0
CRI R7,81.4
CRI R8,59.1
CRI R9,10.0
CRI R10,85.0
CRI R11,79.6
CRI R12,73.6
CRI R13,85.4
CRI R14,97.4
CRI R15,75.1
