Date Saved,2017/11/13 00:50:57
Title,LED-20W_04_5661K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],5661
⊿uv,0.0025
Illuminance [lx],99.0

Reference CCT [K],5400
LB Index [MK⁻¹],9
LB Camera Filter,81
LB Lighting Filter,-----
CC Index,0.1M
CC Camera Filter,CC025M
CC Lighting Filter,-----
CRI Ra,75.4
CRI R1,73.1
CRI R2,82.2
CRI R3,84.8
CRI R4,72.5
CRI R5,72.1
CRI R6,72.4
CRI R7,85.0
CRI R8,61.3
CRI R9,-16.2
CRI R10,53.7
CRI R11,66.7
CRI R12,40.2
CRI R13,75.5
CRI R14,91.3
CRI R15,69.3
