Date Saved,2017/11/17 21:15:26
Title,Sun-Calib-344mV_01_5119K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],5119
⊿uv,0.0025
Illuminance [lx],55800

Reference CCT [K],5400
LB Index [MK⁻¹],-10
LB Camera Filter,82
LB Lighting Filter,R3216 1/8 CTB
CC Index,0.2M
CC Camera Filter,CC025M
CC Lighting Filter,-----
CRI Ra,99.4
CRI R1,99.4
CRI R2,99.8
CRI R3,99.3
CRI R4,99.3
CRI R5,99.7
CRI R6,99.7
CRI R7,99.2
CRI R8,98.6
CRI R9,96.8
CRI R10,99.6
CRI R11,99.1
CRI R12,98.6
CRI R13,99.5
CRI R14,99.5
CRI R15,99.1
