Date Saved,2018/02/05 16:26:44
Title,Warm White_01_3206K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],3206
⊿uv,0.0058
Illuminance [lx],20800

Reference CCT [K],5400
LB Index [MK⁻¹],-127
LB Camera Filter,80A, 82C
LB Lighting Filter,R3203 3/4 CTB, R3203 3/4 CTB
CC Index,0.8M
CC Camera Filter,CC10G, CC025G
CC Lighting Filter,R3316 1/4 PLUS G
CRI Ra,61.0
CRI R1,53.8
CRI R2,73.2
CRI R3,89.3
CRI R4,52.4
CRI R5,52.0
CRI R6,59.2
CRI R7,75.5
CRI R8,32.2
CRI R9,-68.8
CRI R10,37.7
CRI R11,38.9
CRI R12,24.4
CRI R13,56.8
CRI R14,93.8
CRI R15,46.7
