Date Saved,2018/02/05 16:27:16
Title,WarmWhite-Chanz_01_3149K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],3149
⊿uv,-0.0028
Illuminance [lx],39900

Reference CCT [K],5400
LB Index [MK⁻¹],-132
LB Camera Filter,80C, 80D
LB Lighting Filter,R3202 FULL CTB, R3208 1/4 CTB
CC Index,0.2G
CC Camera Filter,CC10G
CC Lighting Filter,R3317 1/8 PLUS G, R3317 1/8 PLUS G
CRI Ra,80.5
CRI R1,79.8
CRI R2,93.7
CRI R3,90.9
CRI R4,75.2
CRI R5,80.3
CRI R6,91.2
CRI R7,78.3
CRI R8,54.3
CRI R9,0.2
CRI R10,85.3
CRI R11,73.2
CRI R12,71.5
CRI R13,83.6
CRI R14,95.6
CRI R15,72.7
