Date Saved,2018/02/05 16:27:43
Title,Yellow-Chanzon_01_1682K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],1682
⊿uv,0.0048
Illuminance [lx],4670

Reference CCT [K],5400
LB Index [MK⁻¹],-409
LB Camera Filter,80B, 82A
LB Lighting Filter,Filter N/A
CC Index,2.5M
CC Camera Filter,CC05G
CC Lighting Filter,Filter N/A
CRI Ra,-16.2
CRI R1,-33.8
CRI R2,51.0
CRI R3,22.7
CRI R4,-66.0
CRI R5,-39.0
CRI R6,37.6
CRI R7,-2.6
CRI R8,-100.0
CRI R9,-100.0
CRI R10,26.0
CRI R11,-97.4
CRI R12,-12.4
CRI R13,-16.8
CRI R14,49.0
CRI R15,-62.2
